Код;Артикул;Номенклатура;Остаток;Цена
037282;PAST;Черенок дерев.с резьбой (высший сорт) 120 см /100/;171;35.80
018667;z040/081195;Шнур бельевой полипропеленовый 10м /200/;114;25.92
012522;z042/0025;Шнур бельевой полипропеленовый 15м /150/;143;38.87
012521;z041/0018;Шнур бельевой полипропеленовый 20м /100/;89;42.72
012520;z044/0056;Шнур бельевой полипропеленовый 30м /70/;85;67.36
028577;У-с1920.3;Кастрюля эмаль 8л. сфер. белая с рис. /2/;2;654.93
032621;У-1с45я;Кастрюля эмаль конич.Драгоценная,2 л /8/;7;463.04
032612;У-N20B55;Набор кастрюль эмаль Вишневый сад (3,5л;5,5л) белый с деколью на крышке/1/;3;893.56
032619;У-1с408;Набор кастрюль эмаль Вышивка 3 пр.,белоснеж.(2л,4л,5,5л) /1/;2;1625.47
032602;У-N17B44;Набор кастрюль эмаль Йогурт (3,5л;5,5л;8л.;) /1/;2;1312.83
032617;У-6КВ021М;Набор кастрюль эмаль Хохлома 3 пр.,белоснеж.(2л,3л,4л)/1/;2;1513.50
036093;N17B02;Набор кастрюль эмаль Ягодный чай (3,5л;5,5л,8 л) /1/;2;1428.54
017866;У-Н5;Набор кастрюль эмаль Горицвет (2л;3л;5,5л) /1/;1;1836.69
028602;С43021;Таз эмаль 9,5л. /5/;3;390.86
032613;У-С3021;Таз эмаль 9,5л.с декором /5/;2;461.55
032614;У-С2714;Чайник эмаль 2,3л. декор черный,с пласт.кнопкой /4/;9;446.00
032615;У-С2716.Б;Чайник эмаль 3,5л.сферич., бирюза,с пласт.кнопкой /4/;1;515.94
032344;КТ-003-ВД-1;Вилка десертная МАРТА 1,8мм/20/;40;14.90
030085;КТ-073-ВС-6;Вилка столовая Грация 6пр./40/;63;180.96
032345;КТ-003-ВС-1;Вилка столовая МАРТА 1,8мм/20/;12;17.55
030086;КТ-089-ВС-6;Вилка столовая Элегия 6пр./40/;58;192.00
032346;КТ08-D-16;Кастрюля нерж. 1,9л Ирида d-16 индукция;2;622.47
032347;КТ05-D-18;Кастрюля нерж. 2,0л Антея d-18, индукция;7;658.46
031557;КТ08-D-18;Кастрюля нерж. 2,9лИридаиндукция;7;682.45
032348;КТ05-D-20;Кастрюля нерж. 3,0л Антея d-20, индукция;11;730.42
029162;КТ04-D-16;Кастрюля нерж.1,6л Гретта/1/;1;430.57
029163;КТ-СР-0016;Кастрюля нерж.1,6л Лира. индукция/1/;10;622.47
029164;КТ04-D-18м;Кастрюля нерж.1,8л Гретта мет.крышка индукция/1/;2;532.52
029177;КТ04-D-110м;Кастрюля нерж.11л Гретта мет.крышка индукция/2/;6;1522.01
029178;КТ04-D-130м;Кастрюля нерж.13л Гретта мет.крышка индукция/2/;8;1641.95
029179;КТ-ОБ-15 В;Кастрюля нерж.15л Общепит/1/;3;2158.63
029180;КТ-ОБ-18 В;Кастрюля нерж.17л Общепит/1/;5;2448.89
029165;КТ04-D-22;Кастрюля нерж.2,2л Гретта/1/;7;494.14
029166;КТ-СР-0022;Кастрюля нерж.2,2л Лира. индукция/1/;6;694.44
029167;КТ04-D-25м;Кастрюля нерж.2,5л Гретта мет.крышка индукция/1/;9;574.50
029181;КТ-ОБ-22 В;Кастрюля нерж.20л Общепит/1/;7;2550.59
029168;КТ04-D-30;Кастрюля нерж.3,2л Гретта/1/;6;582.90
029169;КТ-СР-0030;Кастрюля нерж.3,2л Лира. индукция/1/;15;785.59
029170;КТ04-D-35м;Кастрюля нерж.3,4л Гретта мет.крышка/1/;5;682.45
029172;КТ04-D-45м;Кастрюля нерж.4,5л Гретта мет.крышка индукция/1/;14;850.36
032599;КТ08-D-22;Кастрюля нерж.5,2л Иридаиндукция;1;898.33
029173;КТ-СР-0052;Кастрюля нерж.5,2л Лира. индукция;8;958.30
029174;КТ04-D-53м;Кастрюля нерж.5,7л Гретта мет.крышка индукция/2/;11;922.32
032351;КТ08-D-24;Кастрюля нерж.6,2л Иридаиндукция;7;994.28
029175;КТ04-D-72м;Кастрюля нерж.7,3л Гретта мет.крышка индукция/2/;6;1054.25
029176;КТ04-D-90м;Кастрюля нерж.9л Гретта мет.крышка индукция/2/;6;1174.19
032352;КТ08-К;Ковш нерж. 1,9л Ирида с крышкой, d-16, индукция /4/;8;646.46
029182;КТ04-К;Ковш нерж.1,6л Гретта/4/;12;430.57
029183;ast-002-ДК-18;Ковш нерж.18см с длин.ручк./1/;17;225.48
031559;0038;Ложка гарнирная нерж.Афина/12/;17;78.78
030238;0043;Ложка гарнирная нерж.Юнона/12/;10;100.85
032353;КТ-003-ЛД-1;Ложка десертная МАРТА 1,8мм/20/;2;14.90
030239;0044;Ложка для снятия пены нерж.Юнона/12/;4;100.85
030087;КТ-073-ЛС-6;Ложка столовая Грация 6пр./40/;20;180.96
030088;КТ-089-ЛС-6;Ложка столовая Элегия 6пр./40/;18;192.00
030089;КТ-073-ЛЧ-6;Ложка чайная Грация 6пр./50/;6;131.31
030090;КТ-089-ЛЧ-6;Ложка чайная Элегия 6пр./50/;19;150.07
030240;0047;Лопатка кулинарная нерж.Юнона/12/;32;118.18
030091;КТ-223А;Мантоварка d22см 3 сек.Алтын /1/;10;1505.07
030092;КТ-224А;Мантоварка d22см 4 сек.Алтын /1/;8;1852.65
030093;КТ-243А;Мантоварка d24см 3 сек.Алтын /1/;7;1678.86
030094;КТ-244А;Мантоварка d24см 4 сек.Алтын /1/;5;2142.30
029184;0018;Миска нерж.0,5л d-14см.глубокая/1/;5;57.93
029185;0003;Миска нерж.0,8л d-18см.глубокая/1/;32;65.49
031080;0004;Миска нерж.0,95л d-20см.глубокая/1/;21;76.89
029187;0021;Миска нерж.1,5л d-20см.глубокая/1/;17;93.20
029188;0022;Миска нерж.1,9л d-22см.глубокая/1/;18;108.31
029186;0020;Миска нерж.1л d-18см.глубокая/1/;33;78.08
029190;0025;Миска нерж.4л d-29см.глубокая/48/;10;175.11
029191;0026;Миска нерж.6,5л d-34см.глубокая/36/;29;231.72
032632;КТ04-А;Набор кастрюль Гретта 6 пр. (1,6л + 2,2л+ 3,2л/1/;3;1671.41
029192;КТ-SET-005-2;Набор Кастрюль нерж.6пр Альта (2,2+3,2+4,2л)/1/;3;2503.09
029194;КТ-СР-001;Набор Кастрюль нерж.6пр Лира (1,6+2,2+3,2л)/1/;3;1996.96
030002;КТ-СР-002;Набор Кастрюль нерж.6пр Лира (2,2+3,2+4,2л) индукция/1/;6;2247.63
030003;КТ-СР-003;Набор Кастрюль нерж.6пр Лира (3,2+4,2+5,2л) индукция/1/;5;2498.30
030241;0045;Половник 150мл. нерж.Юнона/12/;24;126.35
029200;КТ-П-37Б;Противень 37,5*27*4,4см.керам.покрыт.бирюза/1/;4;301.04
030253;КТ-П-37М;Противень 37,5*27*4,4см.керам.покрыт.мрамор/1/;2;358.65
029201;0014;Таз нерж.12л d-44см./12/;13;565.51
029203;КТ-ФВ-П28А;Форма для выпечки 28*3см./1/;5;178.71
029204;КТ-ФВ-К 29Б;Форма для выпечки 29*26,5*4,1см.керам.покрыт.бирюза/12/;8;358.61
031192;КТ-ФВ-К 26Ф;Форма для выпечки разьем. 26*7см.керам.покрыт.фуксия /8/;14;250.67
032085;КТ-ФВ-К 26А;Форма для выпечки разьем. 26*7см.кругл./8/;9;225.48
029202;КТ-ФВ-К26Б;Форма разъемная 26*7см бирюза./8/;6;250.67
030535;КТ-ФВ-С26Б;Форма разъемная 26*7см бирюза./8/;7;313.65
032677;КТ-ХБ-02;Хлебница бамбук 40,0*27,0*20,0 /4/;3;806.55
032670;КТ-104;Чайник нерж.3,2л индукция/12/;2;642.52
030256;КТ-107S;Чайник нерж.3л индукция Индиго/12/;14;810.78
030257;КТ-108К;Чайник нерж.3л индукция Красный/12/;11;790.39
030258;КТ-109;Чайник нерж.3л индукция меняет цвет при нагревании/12/;8;838.36
030255;КТ-108;Чайник нерж.3л индукция/12/;11;718.42
032634;КТ-107;Чайник нерж.3л индукция/12/;7;852.50
030242;0046;Шумовка нерж.Юнона/12/;12;126.35
013560;812-018;Дуршлаг на ножке Классика 24см 10202-24 К48 Vetta /24/;7;140.11
013561;812-019;Дуршлаг на ножке Классика 26см 10202-26 К24 Vetta;12;175.17
032401;808-030;Казан чугун, d-28см, 3,6л., антипр. покр, решетка,крыш.стекл, нейлон лопат,бамб. палочки/4/;4;1011.78
032402;808-031;Казан чугун, d-30см, 4,4л., антипр. покр, решетка,крыш.стекл, нейлон лопат,бамб. палочки/4/;2;1222.40
028836;812-076;Ковш нерж.14см./24/;12;98.91
031835;831-764;Миска нерж.4000мл ,глубокая 30см/12/;5;147.27
031831;831-278;Миска нерж.500мл ,глубокая 16см/12/;3;40.19
032029;815-366;Набор столовых приборов 24 пр., подарочная упак./12/);1;1205.33
028085;859-046;Набор столовых приборов для детей2пр (ложка16см,вилка 17см мет.пласт.)/36/;4;49.95
032274;846-451;Сковорода d 20смSATOSHI Карбон, мраморное покрытие, индукция /6/;6;478.76
030693;846-396;Сковорода d 20смSATOSHI Мастер антиприг. покрытие, индукция /6/;1;471.93
016958;846-153;Сковорода d 22см антипригарн.покрыт./24/;24;122.27
034737;846-397;Сковорода d 24смSATOSHI Мастер антиприг. покрытие, индукция /6/;2;562.37
024508;846-154;Сковорода d 25см антипригарн.покрыт./1/;8;156.96
032276;846-453;Сковорода d 26смSATOSHI Карбон, мраморное покрытие, индукция/6/;10;682.50
030695;846-398;Сковорода d 26смSATOSHI Мастер антиприг. покрытие, индукция /6/;3;631.56
032100;808-028;Сковорода d 26см, чугун, антипригарн.покрыт./6/1/;12;670.91
032322;846-454;Сковорода d 28смSATOSHI Карбон, мраморное покрытие, индукция/6/;5;753.80
031832;846-399;Сковорода d 28смSATOSHI Мастер антиприг. покрытие, индукция /6/;14;713.34
031535;841-646;Термос для вторых блюд стеклянная колба 1л./24/;12;457.21
024689;841-072;Термос металлический 0.75л. с широким горлом Soup серебристый/12/;13;495.85
018360;841-059;Термос металлический 1,2л. с широким горлом серебристый/12/;16;661.75
013368;841-049;Термос металлический 1,2л. серебристый/12/;12;580.63
013370;841-060;Термос металлический 1,5л. с широким горлом серебристый/12/;12;733.44
032204;841-647;Термос металлический, 0,6л, стеклянная колба ,1655Н/36/;1;272.39
